attempt_id	obligation_id	repo	file	claim	obligation_class	prover_used	outcome	duration_ms	confidence	parent_attempt_id	strategy_tag	started_at	completed_at	prover_output	error_message
1b68699c-9e74-42eb-850c-319995768ea0	01dc3c4f3de66a833253530f1239d1a1c169ca6e	hyperpolymath/ephapax	src/formal/Ephapax/Formal/RegionLinear.idr	-- SPDX-License-Identifier: PMPL-1.0-or-later -- Copyright (c) 2026 Jonathan D.A. Jewell (hyperpolymath) <j.d.a.jewell@open.ac.uk> -- ||| Region-Linear Fusion: The Core of Ephapax Memory Safety ||| ||	linearity	idris2	success	5718	0.5	\N	batch-direct	2026-04-05 15:06:26.776	2026-04-05 15:06:32.565	direct:idris2	\N
019d5d265509-nesy-a0cb87686ad0fda6	a9cd39bf3ff44c33daeef3cf34006f695d6327b625d6bac2f7b2a3ea921dd19a	hyperpolymath/nesy-solver	playground/submission.txt	Theorem t : 0 + 0 = 0.	correctness	coq	success	101	0.85	\N	manual	2026-04-05 10:18:06.371	2026-04-05 10:18:06.473	valid=true goals=0 tactics=0	\N
aba2599b-8a89-48db-8eae-efe9327e913e	759eb730df0f07c8568a42df58c6c5dfc2eb19bd	hyperpolymath/echidna	proofs/smt-lib-mined/la_add_assoc.smt2	(set-logic QF_LIA) (declare-const x Int) (declare-const y Int) (declare-const z Int) (assert (not (= (+ (+ x y) z) (+ x (+ y z))))) (check-sat) 	correctness	z3	success	22	0.5	\N	batch-direct	2026-04-05 12:59:03.632	2026-04-05 12:59:03.665	direct:z3	\N
c96fe9d9-32fc-4b52-95c5-dd5d25b82563	41e2c04f0d3c369fc3a1da275aceba88a2253d01	hyperpolymath/echidna	proofs/smt-lib-mined/la_mul_comm.smt2	(set-logic QF_NIA) (declare-const x Int) (declare-const y Int) (assert (not (= (* x y) (* y x)))) (check-sat) 	correctness	z3	success	21	0.5	\N	batch-direct	2026-04-05 12:59:03.732	2026-04-05 12:59:03.764	direct:z3	\N
04d0ff02-d1da-4437-b297-b220d268c665	fc33eda81a013806076a40e9f4baeeb9e43b5684	hyperpolymath/echidna	proofs/smt-lib-mined/la_distribute.smt2	(set-logic QF_NIA) (declare-const a Int) (declare-const b Int) (declare-const c Int) (assert (not (= (* a (+ b c)) (+ (* a b) (* a c))))) (check-sat) 	correctness	z3	success	21	0.5	\N	batch-direct	2026-04-05 12:59:03.832	2026-04-05 12:59:03.864	direct:z3	\N
36db0281-e531-4e89-8569-9e066fa9ec02	80d3f050ed0b2297a3c6123748287383a4b645ee	hyperpolymath/echidna	proofs/smt-lib-mined/la_triangle.smt2	(set-logic QF_LIA) (declare-const x Int) (declare-const y Int) (declare-const z Int) (assert (>= (+ x y) z)) (assert (>= (+ y z) x)) (assert (>= (+ x z) y)) (assert (> x 0)) (assert (> y 0)) (assert (	correctness	z3	success	25	0.5	\N	batch-direct	2026-04-05 12:59:03.931	2026-04-05 12:59:03.967	direct:z3	\N
309476e9-dff7-431a-b20d-f6d206f132eb	d17d4adfc302ec345393a7f574032c97c2313ea5	hyperpolymath/echidna	proofs/smt-lib-mined/bv_xor_involution.smt2	(set-logic QF_BV) (declare-const x (_ BitVec 32)) (declare-const y (_ BitVec 32)) (assert (not (= (bvxor (bvxor x y) y) x))) (check-sat) 	correctness	z3	success	20	0.5	\N	batch-direct	2026-04-05 12:59:04.039	2026-04-05 12:59:04.070	direct:z3	\N
43f036e7-b0aa-4b85-ad61-9ec1c6fcd2b2	a824420193f34e7a9769e99db1291c9d2b5b9acf	hyperpolymath/echidna	proofs/smt-lib-mined/bv_mask_idempotent.smt2	(set-logic QF_BV) (declare-const x (_ BitVec 8)) (assert (not (= (bvand x x) x))) (check-sat) 	correctness	z3	success	21	0.5	\N	batch-direct	2026-04-05 12:59:04.136	2026-04-05 12:59:04.168	direct:z3	\N
836e3ea0-3596-49e8-a553-8be09228d97c	be294542cf81ff93df29c9ccb99ec93f67173273	hyperpolymath/echidna	proofs/smt-lib-mined/uf_transitivity.smt2	(set-logic QF_UF) (declare-sort S 0) (declare-const a S) (declare-const b S) (declare-const c S) (assert (= a b)) (assert (= b c)) (assert (not (= a c))) (check-sat) 	correctness	z3	success	20	0.5	\N	batch-direct	2026-04-05 12:59:04.235	2026-04-05 12:59:04.266	direct:z3	\N
ff2d9a8d-04ed-4989-95cc-25a33b779c5e	6e97bcc5a4237be5408787c27109f542f7ed1054	hyperpolymath/echidna	proofs/smt-lib-mined/uf_congruence.smt2	(set-logic QF_UF) (declare-sort S 0) (declare-fun f (S) S) (declare-const a S) (declare-const b S) (assert (= a b)) (assert (not (= (f a) (f b)))) (check-sat) 	correctness	z3	success	21	0.5	\N	batch-direct	2026-04-05 12:59:04.339	2026-04-05 12:59:04.371	direct:z3	\N
